Code Insee,Commune,Latitude,Longitude
01412,Sulignat,46.174,4.958
01416,Tenay,45.923,5.514
01419,Thoiry,46.244,5.965
01420,Thoissey,46.17,4.794
01429,Vandeins,46.218,5.082
01432,Verjon,46.346,5.348
01433,Vernoux,46.485,5.106
01435,Versonnex,46.3,6.101
01436,Vesancy,46.361,6.085
01437,Vescours,46.474,5.026
01441,Vieu-d'Izenave,46.085,5.549
01444,Villebois,45.849,5.447
01445,Villemotier,46.346,5.31
01448,Villes,46.095,5.757
01450,Villieu-Loyes-Mollon,45.932,5.23
01454,Virignin,45.727,5.713
01457,Vonnas,46.217,4.997
02001,Abbécourt,49.599,3.177
02002,Achery,49.694,3.397
02004,Agnicourt-et-Séchelles,49.717,3.96
02009,Alaincourt,49.767,3.366
02010,Allemant,49.462,3.454
02014,Amigny-Rouy,49.611,3.303
02015,Ancienville,49.219,3.208
02016,Andelain,49.641,3.37
02017,Anguilcourt-le-Sart,49.694,3.428
02018,Anizy-le-Grand,49.504,3.431
02019,Annois,49.721,3.176
02020,Any-Martin-Rieux,49.882,4.224
02021,Archon,49.744,4.119
02025,Artemps,49.762,3.197
02031,Aubenton,49.825,4.191
02032,Aubigny-aux-Kaisnes,49.772,3.119
02035,Audigny,49.866,3.631
02038,Les Autels,49.761,4.224
02039,Autremencourt,49.705,3.794
02041,Autreville,49.586,3.236
02049,Barisis-aux-Bois,49.578,3.328
02050,Barzy-en-Thiérache,50.04,3.749
02052,Bassoles-Aulers,49.533,3.385
02055,Beaumé,49.821,4.152
02056,Beaumont-en-Beine,49.688,3.131
02059,Beautor,49.648,3.338
02060,Beauvois-en-Vermandois,49.834,3.103
02066,Benay,49.755,3.309
02067,Bergues-sur-Sambre,50.03,3.711
02068,Berlancourt,49.781,3.757
02069,Berlise,49.662,4.113
02074,Bertaucourt-Epourdon,49.628,3.398
02075,Berthenicourt,49.779,3.372
02078,Besmé,49.534,3.165
02079,Besmont,49.823,4.118
02081,Béthancourt-en-Vaux,49.629,3.141
02084,Bézu-le-Guéry,49.01,3.228
02086,Bichancourt,49.579,3.213
02090,Billy-sur-Ourcq,49.222,3.299
02096,Bois-lès-Pargny,49.737,3.654
02101,Bosmont-sur-Serre,49.739,3.867
02103,Boué,50.012,3.714
02107,Bourguignon-sous-Coucy,49.543,3.154
02111,Brancourt-en-Laonnois,49.518,3.413
02117,Bray-Saint-Christophe,49.775,3.141
02122,Brie,49.597,3.473
02123,Brissay-Choigny,49.723,3.396
02124,Brissy-Hamégicourt,49.743,3.4
02125,Brumetz,49.11,3.153
02126,Brunehamel,49.772,4.186
02130,Bucilly,49.866,4.093
02134,Buire,49.907,4.057
02135,Buironfosse,49.958,3.838
02139,Caillouël-Crépigny,49.618,3.122
02141,La Capelle,49.973,3.914
02142,Castres,49.801,3.253
02145,Caumont,49.637,3.174
02149,Cerizy,49.767,3.333
02155,Chaillevois,49.508,3.522
02159,Champs,49.544,3.262
02160,Chaourse,49.701,3.986
02162,La Chapelle-sur-Chézy,48.949,3.377
02163,Charly-sur-Marne,48.99,3.294
02165,Charmes,49.651,3.385
02169,Châtillon-lès-Sons,49.762,3.703
02170,Châtillon-sur-Oise,49.794,3.416
02173,Chauny,49.62,3.219
02174,Chavignon,49.479,3.519
02181,Chéry-lès-Rozoy,49.722,4.101
02182,Chevennes,49.818,3.737
02185,Chézy-en-Orxois,49.127,3.168
02188,Chigny,49.93,3.775
02192,Chouy,49.217,3.247
02194,Cilly,49.749,3.84
02197,Clairfontaine,49.974,3.987
02199,Clastres,49.749,3.23
02204,Coingt,49.792,4.096
02206,Colonfay,49.858,3.711
