Code Insee,Commune,Latitude,Longitude
02249,Cuiry-Housse,49.29,3.488
02250,Cuiry-lès-Chaudardes,49.39,3.762
02251,Cuiry-lès-Iviers,49.766,4.104
02252,Cuissy-et-Geny,49.404,3.706
02256,Dagny-Lambercy,49.769,4.042
02261,Dercy,49.71,3.685
02264,Dizy-le-Gros,49.636,4.013
02265,Dohis,49.767,4.142
02266,Dolignon,49.734,4.086
02269,Dorengt,49.965,3.703
02271,Dravegny,49.239,3.641
02272,Droizy,49.277,3.39
02274,Ébouleau,49.678,3.883
02275,Effry,49.919,3.988
02276,Englancourt,49.926,3.807
02278,Éparcy,49.886,4.07
02279,Épaux-Bézu,49.103,3.354
02280,Épieds,49.104,3.451
02283,Erlon,49.735,3.705
02284,Erloy,49.92,3.838
02286,Esquéhéries,49.982,3.753
02287,Essigny-le-Grand,49.774,3.272
02290,Essômes-sur-Marne,49.034,3.34
02292,Étampes-sur-Marne,49.032,3.418
02295,Étréaupont,49.896,3.924
02297,Étrépilly,49.082,3.348
02298,Étreux,50.0,3.659
02299,Évergnicourt,49.456,4.036
02305,Fère-en-Tardenois,49.188,3.511
02306,La Ferté-Chevresis,49.741,3.551
02308,Fesmy-le-Sart,50.048,3.698
02312,La Flamengrie,50.0,3.925
02313,Flavigny-le-Grand-et-Beaurain,49.887,3.674
02318,Folembray,49.549,3.293
02321,Fontaine-lès-Vervins,49.854,3.905
02324,Fontenelle,50.031,3.846
02328,Fossoy,49.045,3.485
02331,Franqueville,49.816,3.798
02332,Fresnes-en-Tardenois,49.143,3.549
02333,Fresnes-sous-Coucy,49.555,3.37
02337,Froidestrées,49.943,3.91
02338,Froidmont-Cohartille,49.682,3.721
02339,Gandelu,49.083,3.182
02341,Gercy,49.816,3.871
02342,Gergny,49.933,3.93
02345,Gibercourt,49.739,3.283
02346,Gizy,49.61,3.768
02347,Gland,49.058,3.457
02349,Goudelancourt-lès-Berrieux,49.495,3.859
02350,Goudelancourt-lès-Pierrepont,49.678,3.852
02351,Goussancourt,49.161,3.657
02353,Grandlup-et-Fay,49.651,3.736
02354,Grandrieux,49.729,4.188
02356,Grisolles,49.13,3.372
02357,Gronard,49.796,3.882
02358,Grougis,49.951,3.531
02360,Villeneuve-sur-Aisne,49.443,3.955
02361,Guise,49.896,3.625
02363,Guny,49.512,3.261
02364,Guyencourt,49.357,3.841
02366,Hannapes,49.977,3.614
02369,Harcigny,49.803,3.983
02372,Hartennes-et-Taux,49.279,3.358
02373,Hary,49.797,3.919
02375,Hautevesnes,49.109,3.236
02376,Hauteville,49.888,3.524
02377,Haution,49.872,3.827
02378,La Hérie,49.884,4.044
02379,Le Hérie-la-Viéville,49.822,3.654
02380,Hinacourt,49.746,3.294
02381,Hirson,49.943,4.105
02384,Houry,49.786,3.848
02385,Housset,49.796,3.695
02386,Iron,49.95,3.665
02387,Itancourt,49.803,3.349
02388,Iviers,49.786,4.136
02389,Jaulgonne,49.09,3.534
02391,Jeantes,49.813,4.067
02395,Jumencourt,49.512,3.349
02396,Jumigny,49.408,3.725
02399,Juvincourt-et-Damary,49.447,3.892
02401,Laigny,49.863,3.861
02403,Landifay-et-Bertaignemont,49.826,3.604
02404,Landouzy-la-Cour,49.844,3.994
02405,Landouzy-la-Ville,49.856,4.05
02406,Landricourt,49.505,3.37
02409,Lappion,49.59,3.965
02411,Latilly,49.154,3.312
02412,Launoy,49.263,3.405
02414,Lavaqueresse,49.946,3.717
02416,Lemé,49.844,3.758
02418,Lerzy,49.95,3.881
02419,Leschelle,49.961,3.777
02422,Lesquielles-Saint-Germain,49.932,3.628
02423,Leuilly-sous-Coucy,49.473,3.353
02425,Leuze,49.858,4.17
02428,Licy-Clignon,49.102,3.265
02429,Lierval,49.488,3.622
02430,Liesse-Notre-Dame,49.611,3.817
02433,Lislet,49.676,4.021
02435,Logny-lès-Aubenton,49.833,4.22
02440,Lor,49.53,4.054
02442,Loupeigne,49.241,3.525
02444,Lugny,49.782,3.812
02445,Luzoir,49.927,3.96
02446,Ly-Fontaine,49.732,3.311
02447,Maast-et-Violaine,49.293,3.457
02448,Mâchecourt,49.652,3.838
02450,Macquigny,49.873,3.571
02453,Maizy,49.377,3.716
02454,La Malmaison,49.516,4.001
02455,Malzy,49.921,3.73
02457,Marchais,49.585,3.822
02458,Dhuys et Morin-en-Brie,48.894,3.493
02460,Marcy-sous-Marle,49.746,3.734
02462,Mareuil-en-Dôle,49.242,3.561
02463,Marfontaine,49.808,3.764
02468,Marle,49.745,3.765
02469,Marly-Gomont,49.891,3.785
02470,Martigny,49.867,4.134
02471,Martigny-Courpierre,49.49,3.687
02472,Mauregny-en-Haye,49.541,3.798
02476,Mennevret,49.992,3.559
02478,Merlieux-et-Fouquerolles,49.514,3.499
02480,Mesbrecourt-Richecourt,49.71,3.537
02482,Meurival,49.357,3.759
02483,Mézières-sur-Oise,49.792,3.387
02484,Mézy-Moulins,49.063,3.512
02486,Missy-lès-Pierrepont,49.628,3.784
02488,Molain,50.034,3.53
02491,Monceau-le-Neuf-et-Faucouzy,49.785,3.631
02493,Monceau-le-Waast,49.622,3.717
02494,Monceau-sur-Oise,49.91,3.7
02495,Mondrepuis,49.964,4.051
02498,Montaigu,49.553,3.844
02499,Montbavin,49.53,3.513
02502,Montcornet,49.689,4.029
02503,Mont-d'Origny,49.852,3.527
02507,Montgru-Saint-Hilaire,49.177,3.327
02508,Monthenault,49.489,3.656
02509,Monthiers,49.109,3.294
02510,Monthurel,49.028,3.552
02512,Montigny-l'Allier,49.122,3.107
02513,Montigny-le-Franc,49.688,3.918
02515,Montigny-lès-Condé,48.983,3.566
02516,Montigny-sous-Marle,49.741,3.804
02517,Montigny-sur-Crécy,49.715,3.584
02518,Montlevon,48.963,3.515
02519,Montloué,49.668,4.063
02522,Mont-Saint-Jean,49.793,4.211
02524,Mont-Saint-Père,49.082,3.477
02526,Morgny-en-Thiérache,49.754,4.076
02529,Mortiers,49.694,3.664
02530,Moulins,49.42,3.679
02531,Moussy-Verneuil,49.413,3.637
02532,Moÿ-de-l'Aisne,49.75,3.351
02533,Muret-et-Crouttes,49.278,3.435
02534,Muscourt,49.36,3.744
02535,Nampcelles-la-Cour,49.777,4.002
02536,Nampteuil-sous-Muret,49.305,3.434
02538,Nanteuil-Notre-Dame,49.191,3.412
02540,Nesles-la-Montagne,49.0,3.446
02541,Neufchâtel-sur-Aisne,49.437,4.024
02543,Neuilly-Saint-Front,49.163,3.264
02544,Neuve-Maison,49.929,4.041
02545,La Neuville-Bosmont,49.714,3.834
02547,La Neuville-Housset,49.788,3.732
02548,La Neuville-lès-Dorengt,49.983,3.686
02550,Neuville-sur-Ailette,49.47,3.698
02552,Neuvillette,49.855,3.468
02553,Nizy-le-Comte,49.574,4.031
02554,Nogentel,49.014,3.403
02556,Noircourt,49.669,4.094
02558,Le Nouvion-en-Thiérache,50.009,3.809
02559,Nouvion-et-Catillon,49.708,3.494
02560,Nouvion-le-Comte,49.708,3.461
02563,Noyales,49.908,3.538
02565,Œuilly,49.393,3.682
02567,Ohis,49.918,4.012
02569,Oisy,50.023,3.653
02572,Orainville,49.376,4.016
02574,Origny-en-Thiérache,49.886,4.011
02575,Origny-Sainte-Benoite,49.827,3.529
02578,Oulches-la-Vallée-Foulon,49.431,3.74
02579,Oulchy-la-Ville,49.21,3.341
02580,Oulchy-le-Château,49.207,3.382
02582,Paissy,49.426,3.702
02583,Pancy-Courtecon,49.461,3.65
02584,Papleux,50.017,3.88
02585,Parcy-et-Tigny,49.27,3.329
02586,Parfondeval,49.744,4.162
02588,Pargnan,49.394,3.703
02590,Pargny-la-Dhuys,48.955,3.564
02591,Pargny-les-Bois,49.732,3.618
02592,Parpeville,49.794,3.564
02595,Passy-sur-Marne,49.066,3.574
02600,Pierrepont,49.648,3.788
02601,Pignicourt,49.409,4.03
02602,Pinon,49.488,3.462
02605,Pleine-Selve,49.797,3.526
02606,Le Plessier-Huleu,49.239,3.348
02608,Plomion,49.819,4.02
02609,Ployart-et-Vaurseine,49.493,3.74
02613,Pontavert,49.418,3.82
02616,Pont-Saint-Mard,49.494,3.279
02617,Pouilly-sur-Serre,49.678,3.586
02619,Prémontré,49.549,3.418
02622,Priez,49.131,3.263
02623,Prisces,49.772,3.863
