Code INSEE,Commune,Latitude,Longitude
01376,Saint-Maurice-de-Beynost,45.834,4.977
01379,Saint-Maurice-de-Rémens,45.953,5.271
01381,Saint-Nizier-le-Désert,46.053,5.142
01382,Sainte-Olive,46.014,4.936
01383,Saint-Paul-de-Varax,46.096,5.128
01384,Saint-Rambert-en-Bugey,45.95,5.44
01385,Saint-Rémy,46.185,5.168
01386,Saint-Sorlin-en-Bugey,45.886,5.376
01389,Saint-Trivier-sur-Moignans,46.062,4.902
01390,Saint-Vulbas,45.822,5.27
01393,Sandrans,46.066,4.983
01398,Savigneux,45.997,4.858
01402,Sermoyer,46.498,4.979
01404,Serrières-sur-Ain,46.147,5.45
01405,Servas,46.139,5.179
01408,Simandre-sur-Suran,46.234,5.422
01411,Souclin,45.878,5.431
01415,Talissieu,45.864,5.721
01418,Thil,45.817,5.018
01421,Torcieu,45.921,5.404
01422,Tossiat,46.138,5.304
01424,Tramoyes,45.875,4.964
01425,La Tranclière,46.097,5.261
01426,Val-Revermont,46.28,5.361
01428,Valeins,46.115,4.866
01430,Varambon,46.043,5.295
01431,Vaux-en-Bugey,45.92,5.364
01434,Versailleux,45.985,5.112
01439,Vésines,46.359,4.863
01443,Villars-les-Dombes,45.993,5.045
01446,Villeneuve,46.032,4.852
01447,Villereversure,46.193,5.395
01449,Villette-sur-Ain,46.01,5.252
01451,Viriat,46.251,5.223
01452,Virieu-le-Grand,45.846,5.64
01453,Arvière-en-Valromey,45.906,5.737
01456,Vongnes,45.813,5.725
02006,Aisonville-et-Bernoville,49.93,3.511
02011,Ambleny,49.376,3.183
02012,Ambrief,49.322,3.404
02022,Arcy-Sainte-Restitue,49.255,3.478
02023,Armentières-sur-Ourcq,49.173,3.388
02024,Arrancy,49.499,3.765
02027,Assis-sur-Serre,49.68,3.555
02028,Athies-sous-Laon,49.576,3.69
02030,Aubencheul-aux-Bois,50.024,3.261
02034,Audignicourt,49.478,3.127
02036,Augy,49.34,3.511
02037,Aulnois-sous-Laon,49.62,3.61
02040,Autreppes,49.897,3.856
02042,Azy-sur-Marne,49.004,3.359
02043,Bagneux,49.46,3.28
02044,Bancigny,49.798,4.037
02046,Barenton-Bugny,49.622,3.661
02047,Barenton-Cel,49.648,3.645
02048,Barenton-sur-Serre,49.668,3.689
02053,Vallées en Champagne,48.99,3.605
02057,Beaurevoir,49.997,3.33
02061,Becquigny,50.016,3.459
02062,Belleau,49.083,3.3
02064,Belleu,49.357,3.34
02065,Bellicourt,49.959,3.23
02071,Berny-Rivière,49.411,3.15
02080,Besny-et-Loizy,49.593,3.577
02082,Beugneux,49.228,3.416
02083,Beuvardes,49.131,3.492
02085,Bézu-Saint-Germain,49.105,3.408
02087,Bieuxy,49.448,3.27
02088,Bièvres,49.492,3.714
02089,Billy-sur-Aisne,49.356,3.376
02093,Blérancourt,49.508,3.152
02094,Blesmes,49.026,3.464
02095,Bohain-en-Vermandois,49.989,3.465
02098,Bonneil,49.008,3.346
02099,Bonnesvalyn,49.126,3.325
02100,Bony,49.991,3.221
02102,Bouconville-Vauclair,49.461,3.757
02105,Bouresches,49.067,3.317
02108,Bourguignon-sous-Montbavin,49.529,3.538
02109,La Bouteille,49.878,3.962
02110,Braine,49.348,3.536
02112,Brancourt-le-Grand,49.981,3.394
02114,Brasles,49.057,3.424
02115,Braye-en-Laonnois,49.438,3.61
02116,Braye-en-Thiérache,49.768,3.963
02118,Braye,49.422,3.378
02119,Brécy,49.14,3.424
02120,Brenelle,49.368,3.544
02121,Breny,49.184,3.35
02127,Bruyères-sur-Fère,49.2,3.445
02128,Bruyères-et-Montbérault,49.524,3.67
02131,Bucy-le-Long,49.388,3.398
02132,Bucy-lès-Cerny,49.579,3.497
02133,Bucy-lès-Pierrepont,49.647,3.904
02136,Burelles,49.769,3.912
02137,Bussiares,49.077,3.25
02138,Buzancy,49.31,3.348
02140,Camelin,49.52,3.128
02143,Le Catelet,50.001,3.242
02146,Celles-lès-Condé,49.015,3.57
02148,Celles-sur-Aisne,49.416,3.474
02150,Cerny-en-Laonnois,49.45,3.68
02151,Cerny-lès-Bucy,49.578,3.546
02152,Cerseuil,49.325,3.518
02153,Cessières-Suzy,49.56,3.502
02154,Chacrise,49.3,3.398
02156,Chalandry,49.67,3.644
02157,Chambry,49.599,3.672
02158,Chamouille,49.472,3.671
02164,Le Charmel,49.112,3.541
02166,Chartèves,49.09,3.509
02167,Chassemy,49.378,3.503
02168,Château-Thierry,49.056,3.382
