Commune,Latitude,Longitude
Château-sur-Allier,46.7663,3.02746
Couleuvre,46.6727,2.90838
Lurcy-Lévis,46.732376,2.9378711
Neure,46.7471,2.98132
Pouzy-Mésangy,46.7086247,3.0038082
Valigny,46.7126221,2.8174155
Archignat,46.3719368,2.4235672
Audes,46.4575891,2.5582129
Chambérat,46.4192,2.41239
La Chapelaude,46.4221,2.50208
Chazemais,46.4829631,2.5259702
Courçais,46.4707,2.43378
Estivareilles,46.4246,2.61549
Huriel,46.3733261,2.477798
Lamaids,46.3034,2.433
Mesples,46.4332,2.35998
Nassigny,46.4947387,2.6028326
Quinssaines,46.327,2.51472
Reugny,46.4635,2.61549
Saint-Désiré,46.4996631,2.4312968
Saint-Éloy-d'Allier,46.4879947,2.3574157
Saint-Martinien,46.3365695,2.4727636
Saint-Victor,46.394589,2.6085507
Vallon-en-Sully,46.5354766,2.6080923
Vaux,46.427,2.59762
Viplaix,46.4607424,2.3786361
Ally,45.1739751,2.3139988
Anglards-de-Salers,45.203454,2.4401267
Arches,45.3062104,2.3282064
Auzers,45.2654175,2.4608774
Barriac-les-Bosquets,45.1424612,2.2597416
Brageac,45.2044744,2.2884812
Chalvignac,45.2411015,2.2468393
Chaussenac,45.1770849,2.2785824
Drugeac,45.1661168,2.3866481
Escorailles,45.1724149,2.3302733
Le Falgoux,45.1548894,2.6228961
Le Fau,45.1020741,2.58402
Fontanges,45.1142771,2.5028038
Jaleyrac,45.2642084,2.3705254
Méallet,45.2552449,2.4305425
Moussages,45.2372634,2.4691679
Pleaux,45.1362568,2.2269993
Saint-Bonnet-de-Salers,45.1599247,2.452938
Saint-Cirgues-de-Malbert,45.0743516,2.370739
Sainte-Eulalie,44.8094526,4.1896613
Saint-Martin-Cantalès,45.0926994,2.2992999
Saint-Martin-Valmeroux,45.118212,2.4274867
Saint-Paul-de-Salers,45.1402103,2.5172737
Saint-Vincent-de-Salers,45.2032819,2.5317692
Salers,45.1385878,2.4943427
Salins,45.1911943,2.3917268
Sourniac,45.2757552,2.3398239
Le Vaulmier,45.1892281,2.5678538
Le Vigean,45.2266682,2.3535579
Besse,45.0714767,6.16986
Raulhac,44.8993827,2.6558892
Boisset,44.7828149,2.253915
Puycapel,44.7065269,2.3288824
Cassaniouze,44.6913102,2.3829643
Leynhac,44.7400396,2.3000737
Marcolès,44.7820842,2.3529563
Parlan,44.8288037,2.1727311
Quézac,44.747127,2.1857549
Rouziers,44.7935003,2.20867
Saint-Antoine,44.7504916,2.3374954
Saint-Constant-Fournoulès,44.6893996,2.2412641
Saint-Étienne-de-Maurs,44.7152732,2.2090251
Saint-Julien-de-Toursac,44.7730527,2.2095918
Saint-Santin-de-Maurs,44.6513028,2.2162383
Saint-Saury,44.8675042,2.1398947
Sénezergues,44.7032247,2.4108721
Le Trioulou,44.6684267,2.188451
Orgnac-l'Aven,44.3055791,4.4333406
Saint-Just-d'Ardèche,44.3049499,4.6120986
Saint-Martin-d'Ardèche,44.3011856,4.5665754
Bessas,44.3444,4.30165
Saint-André-de-Cruzières,44.3142503,4.2171724
Saint-Paul-le-Jeune,44.3395985,4.1536172
Saint-Sauveur-de-Cruzières,44.2995,4.25345
Astet,44.685116,4.0598805
Borne,44.6152037,4.0152953
Cellier-du-Luc,44.6805019,3.8993042
Coucouron,44.7993,3.9713
Cros-de-Géorand,44.7923,4.12681
Issanlas,44.7652801,4.0117546
Le Lac-d'Issarlès,44.8206131,4.0622354
Lachapelle-Graillouse,44.8119,4.01908
Lanarce,44.7290928,4.0038178
Laveyrune,44.632,3.89502
Lavillatte,44.7444,3.95309
Lespéron,44.7303596,3.897478
Mazan-l'Abbaye,44.7286807,4.0894742
Le Plagnal,44.6990247,3.9445784
Saint-Alban-en-Montagne,44.7037,3.90945
