Commune,INSEE,Latitude,Longitude
Plounévézel,29205,48.3143,-3.5653
Plouyé,29211,48.3143,-3.7391
Poullaouen,29227,48.3413,-3.6451
Saint-Hernin,29250,48.2097,-3.6134
Scaër,29274,48.0268,-3.7267
Scrignac,29275,48.4238,-3.6875
Availles-sur-Seiche,35008,47.9589,-1.1862
Bains-sur-Oust,35013,47.716,-2.074
Bais,35014,48.0089,-1.2989
La Bazouge-du-Désert,35018,48.443,-1.1072
Beaucé,35021,48.346,-1.1554
Billé,35025,48.2939,-1.2524
Bréal-sous-Vitré,35038,48.0879,-1.0563
Bruc-sur-Aff,35045,47.8166,-2.0066
La Chapelle-Janson,35062,48.3459,-1.0968
La Chapelle-Saint-Aubert,35063,48.3091,-1.312
La Chapelle-de-Brain,35064,47.6953,-1.9288
Le Châtellier,35071,48.4251,-1.2438
Chelun,35077,47.8546,-1.2447
Combourtillé,35086,48.2665,-1.2673
Domalain,35097,47.9975,-1.2445
Drouges,35102,47.904,-1.2576
Forges-la-Forêt,35114,47.8611,-1.2917
Fougères,35115,48.3512,-1.1953
Gennes-sur-Seiche,35119,48.0008,-1.1274
Grand-Fougeray,35124,47.7381,-1.7155
La Guerche-de-Bretagne,35125,47.9448,-1.2396
Javené,35137,48.3187,-1.2116
Laignelet,35138,48.3771,-1.1516
Landéan,35142,48.4165,-1.1393
Langon,35145,47.7321,-1.8699
Lécousse,35150,48.3584,-1.2183
Lieuron,35151,47.8523,-1.9369
Lohéac,35155,47.8719,-1.8876
Le Loroux,35157,48.398,-1.0811
Louvigné-du-Désert,35162,48.4859,-1.1251
Luitré-Dompierre,35163,48.2823,-1.1301
Mellé,35174,48.4844,-1.1912
Guipry-Messac,35176,47.8257,-1.8318
Monthault,35190,48.5104,-1.1771
Montreuil-des-Landes,35192,48.2526,-1.225
Moussé,35199,47.9169,-1.2773
Moutiers,35200,47.976,-1.2055
Parcé,35214,48.2727,-1.1946
Parigné,35215,48.4205,-1.1999
Pipriac,35219,47.8147,-1.9416
Pleine-Fougères,35222,48.5317,-1.5722
Rannée,35235,47.9063,-1.233
Redon,35236,47.6557,-2.0787
Renac,35237,47.722,-1.9769
Romagné,35243,48.3446,-1.259
Roz-sur-Couesnon,35247,48.5926,-1.596
Sains,35248,48.5557,-1.5968
Sainte-Anne-sur-Vilaine,35249,47.7363,-1.8081
Saint-Ganton,35268,47.7681,-1.8981
Saint-Georges-de-Gréhaigne,35270,48.5823,-1.547
Saint-Germain-en-Coglès,35273,48.4016,-1.2556
Saint-Just,35285,47.7673,-1.9651
Saint-Malo-de-Phily,35289,47.8649,-1.8091
Sainte-Marie,35294,47.6958,-2.0181
Saint-Sauveur-des-Landes,35310,48.3477,-1.316
La Selle-en-Luitré,35324,48.3235,-1.1464
La Selle-Guerchaise,35325,47.9435,-1.1718
Sixt-sur-Aff,35328,47.7755,-2.0561
Sougeal,35329,48.5043,-1.5131
Trans-la-Forêt,35339,48.4872,-1.6016
Vieux-Viel,35354,48.4997,-1.5549
Villamée,35357,48.4569,-1.2162
Visseiche,35359,47.9592,-1.3023
Allaire,56001,47.6312,-2.1816
Bangor,56009,47.3149,-3.1938
Béganne,56011,47.6028,-2.2433
Bréhan,56024,48.0705,-2.694
Bubry,56026,47.9706,-3.1743
Carentoir,56033,47.8239,-2.1227
Cléguérec,56041,48.1275,-3.0649
Cournon,56044,47.7494,-2.0991
Crédin,56047,48.0356,-2.7586
La Croix-Helléan,56050,47.9652,-2.5123
Cruguel,56051,47.8829,-2.5891
Les Fougerêts,56060,47.75,-2.1945
La Gacilly,56061,47.7609,-2.136
La Grée-Saint-Laurent,56068,48.0023,-2.5041
Groix,56069,47.6369,-3.4654
Guégon,56070,47.925,-2.5903
Gueltas,56072,48.0874,-2.8129
Guémené-sur-Scorff,56073,48.0665,-3.2051
Guern,56076,48.0383,-3.0947
Guiscriff,56081,48.0391,-3.62
Helléan,56082,47.9676,-2.4808
Hœdic,56085,47.3364,-2.862
